userid	itemid	rate
21	10	2
38	40	1
31	38	5
25	41	3
8	1	5
14	19	3
7	50	5
21	40	4
31	49	3
40	18	5
28	50	2
1	17	3
32	41	2
31	29	3
21	36	3
1	4	5
14	45	4
26	27	3
49	44	2
8	26	2
1	29	5
31	19	3
25	40	4
33	49	1
33	40	1
37	37	2
50	44	4
21	21	5
4	39	1
10	10	2
22	48	2
37	33	2
41	39	3
25	48	5
21	27	1
41	1	3
41	31	3
49	8	4
46	33	3
49	42	2
24	1	1
36	33	2
7	36	2
43	22	1
41	42	4
47	46	4
43	24	5
48	24	2
7	1	5
21	30	4
37	32	4
23	17	5
5	31	3
46	49	3
4	40	4
6	14	1
36	44	5
33	26	4
43	37	4
11	41	4
29	33	5
37	43	1
13	28	4
6	44	3
7	17	5
23	44	1
29	30	2
27	7	3
8	2	5
32	11	3
37	2	5
38	4	5
14	42	5
41	47	4
44	5	3
30	29	1
35	44	3
19	35	4
27	46	3
21	33	3
23	29	2
44	19	4
40	47	3
16	29	2
18	36	1
20	42	3
17	8	1
25	34	1
4	4	4
17	14	2
38	23	5
20	46	2
44	42	4
6	50	4
49	37	1
48	25	5
37	22	1
16	12	2
34	4	2
33	11	5
11	34	5
17	24	1
26	15	5
10	34	5
44	28	5
36	17	5
13	20	2
16	21	5
7	38	4
31	46	1
1	8	4
29	12	5
9	35	1
21	28	5
39	16	2
30	19	2
21	31	1
3	31	1
32	47	4
37	16	4
23	29	1
22	5	4
3	5	5
47	27	1
19	29	2
1	23	4
7	27	1
3	50	1
32	5	2
29	11	2
11	16	4
47	8	2
26	47	3
30	25	1
1	50	3
7	48	1
24	12	2
23	26	4
5	31	5
5	3	4
10	44	4
7	19	1
47	25	3
44	1	4
16	25	2
47	24	5
50	38	4
29	24	5
8	1	2
32	37	1
20	50	5
46	10	3
48	38	5
26	31	3
27	24	2
19	12	1
35	44	2
9	4	5
4	44	1
36	14	2
34	38	5
31	33	2
24	11	1
16	33	3
34	4	2
42	33	3
5	2	4
22	43	5
39	41	5
29	16	4
40	33	1
37	38	2
26	16	3
21	24	5
45	37	5
37	39	4
19	44	3
3	43	3
10	29	5
28	34	5
14	46	3
11	11	1
20	33	4
24	25	4
1	15	1
30	28	5
25	39	3
12	18	1
11	24	4
49	37	2
41	3	3
45	25	1
35	40	4
9	5	4
46	46	5
28	29	3
8	9	5
10	35	1
44	26	4
49	46	2
32	6	4
21	30	4
10	6	4
22	29	3
46	5	3
26	30	3
31	17	1
28	2	5
18	7	3
6	8	4
36	26	4
23	34	1
36	43	2
39	50	4
49	34	2
10	48	2
47	31	1
32	5	5
33	6	1
7	37	2
8	28	3
38	6	2
48	38	5
3	17	1
27	41	2
29	11	3
47	31	1
43	47	5
3	15	3
19	7	2
8	15	2
18	35	4
31	15	5
29	25	3
9	19	2
5	11	1
13	14	2
9	26	5
24	33	4
26	31	1
31	10	5
42	21	5
18	41	3
42	21	3
32	19	2
10	33	5
8	10	1
46	46	5
40	4	3
15	32	3
12	5	4
48	37	3
43	4	3
33	45	2
46	11	1
23	42	4
6	49	2
50	33	1
14	35	1
11	8	4
30	6	2
39	21	2
32	16	3
44	13	4
45	38	3
1	15	3
10	47	4
36	3	2
30	19	2
45	26	3
15	11	2
47	13	5
16	45	3
43	20	1
37	11	5
7	3	4
4	36	3
35	28	1
18	4	5
21	36	5
35	46	5
2	11	4
38	5	1
42	15	4
14	22	4
2	39	1
11	6	2
23	40	2
10	46	2
41	21	2
32	43	2
16	25	3
10	46	3
17	9	4
28	45	3
29	19	2
14	30	1
37	8	3
42	29	4
10	22	2
28	33	4
8	29	1
14	36	1
47	33	1
1	37	2
10	35	4
24	39	1
34	22	2
23	39	2
1	34	4
46	12	1
42	1	2
25	45	5
19	9	2
8	32	2
15	28	5
38	12	4
